iter	Logloss
0	0.642217003
1	0.5967753799
2	0.5571927214
3	0.5227284025
4	0.4916772604
5	0.4648785064
6	0.441372468
7	0.4207933927
8	0.4028627493
9	0.3866578655
10	0.3726675208
11	0.3601837511
12	0.3492151628
13	0.3396030132
14	0.3311176817
15	0.323657687
16	0.3170212169
17	0.3109949113
18	0.3057146949
19	0.3010111109
20	0.2967168763
21	0.2929622903
22	0.2894308351
23	0.2863864962
24	0.283618267
25	0.2811754305
26	0.2789209751
27	0.276863831
28	0.2750382858
29	0.2733614487
30	0.2718574545
31	0.2704623977
32	0.2692818196
33	0.268144868
34	0.2670979009
35	0.2661179715
36	0.2652578826
37	0.2644258424
38	0.2636575653
39	0.2630206502
40	0.2624572993
41	0.2618581786
42	0.2613081958
43	0.2608231324
44	0.2603537313
45	0.2599166684
46	0.2595046767
47	0.2592076446
48	0.25888354
49	0.2585717836
50	0.2582140573
51	0.2579504214
52	0.2577591759
53	0.2574641954
54	0.2572723702
55	0.25709236
56	0.2568599856
57	0.2567118553
58	0.2565772417
59	0.2563859679
60	0.2561903965
61	0.2559973397
62	0.2558467588
63	0.255673011
64	0.2555123262
65	0.2553759287
66	0.2552334103
67	0.2551033882
68	0.2549857173
69	0.2548578476
70	0.2547741225
71	0.2546655782
72	0.2545788165
73	0.2545126515
74	0.2543912744
75	0.254292708
76	0.254182636
77	0.2541137175
78	0.2539823865
79	0.2539014813
80	0.2538208875
81	0.2537469811
82	0.2536488677
83	0.2535834139
84	0.2535250499
85	0.2534843598
86	0.2534383015
87	0.253375734
88	0.2533333009
89	0.253293763
90	0.253241061
91	0.2531836516
92	0.2531469254
93	0.2530954716
94	0.2530454037
95	0.2529898561
96	0.2529200075
97	0.2528568251
98	0.2528264021
99	0.2527836522
100	0.2527352925
101	0.252689834
102	0.2526439287
103	0.2526040399
104	0.2525632449
105	0.2525197879
106	0.2524773648
107	0.2524328611
108	0.2524084058
109	0.2523707539
110	0.2523441443
111	0.2523096931
112	0.2522864423
113	0.2522524303
114	0.2522268759
115	0.2521946145
116	0.2521545604
117	0.2521272822
118	0.2520993467
119	0.2520694047
120	0.2520167153
121	0.2519940838
122	0.2519667991
123	0.2519434931
124	0.2519158246
125	0.2518777408
126	0.2518575654
127	0.251806521
128	0.2517713845
129	0.2517374085
130	0.2516990685
131	0.2516532099
132	0.251625506
133	0.251602253
134	0.2515736859
135	0.2515372888
136	0.2515092165
137	0.2514780436
138	0.2514508923
139	0.2513973187
140	0.2513675992
141	0.2513368746
142	0.251312095
143	0.2512913829
144	0.2512596083
145	0.2512361555
146	0.2511883022
147	0.2511433804
148	0.2511039227
149	0.2510842905
150	0.2510566876
151	0.2510116032
152	0.2509906067
153	0.2509469489
154	0.2508961861
155	0.2508799044
156	0.2508406989
157	0.2508218977
158	0.2507946554
159	0.2507702456
160	0.2507436309
161	0.250724094
162	0.2506653778
163	0.2506365927
164	0.2505940861
165	0.2505673315
166	0.2505372037
167	0.2505083753
168	0.2504763662
169	0.2504563478
170	0.2504150133
171	0.2503978761
172	0.2503753299
173	0.2503558832
174	0.2503372684
175	0.2503042012
176	0.2502734839
177	0.2502519715
178	0.2502154707
179	0.2501991657
180	0.2501680622
181	0.2501317342
