iter	Passed	Remaining
0	266	312636
1	462	271475
2	688	269351
3	847	248443
4	980	229595
5	1144	223264
6	1293	215955
7	1444	210837
8	1598	207322
9	1876	218838
10	2429	257355
11	2646	256692
12	2794	250027
13	2961	245801
14	3141	243147
15	3310	239995
16	3469	236504
17	3634	233836
18	3803	231611
19	4010	231830
20	4298	236437
21	4486	235357
22	4684	234846
23	4884	234476
24	5103	234983
25	5334	235942
26	5518	234836
27	5731	234987
28	5930	234567
29	6158	235260
30	6347	234462
31	6552	234261
32	6736	233333
33	6925	232606
34	7241	236063
35	7697	243741
36	7940	244435
37	8117	243104
38	8339	243142
39	8557	243045
40	8797	243536
41	9020	243543
42	9198	242357
43	9398	241801
44	9624	241903
45	9862	242265
46	10042	241223
47	10226	240328
48	10428	239853
49	10687	240692
50	10929	241094
51	11141	240830
52	11382	241176
53	11592	240874
54	11810	240711
55	12150	243003
56	12379	243019
57	12642	243695
58	12895	244134
59	13105	243758
60	13551	247705
61	13843	248744
62	14027	247823
63	14317	248767
64	14556	248808
65	14795	248840
66	15034	248855
67	15255	248577
68	15476	248300
69	15680	247755
70	15864	246911
71	16081	246580
72	16330	246751
73	16677	248357
74	16912	248269
75	17159	248356
76	17335	247426
77	17560	247192
78	17730	246209
79	17921	245521
80	18124	245016
81	18339	244681
82	18505	243688
83	18675	242776
84	18906	242668
85	19179	243086
86	19446	243418
87	19640	242834
88	19858	242539
89	20046	241899
90	20225	241150
91	20499	241536
92	20779	241982
93	20960	241273
94	21167	240869
95	21410	240865
96	21655	240884
97	21886	240748
98	22124	240682
99	22349	240477
100	22581	240345
101	22797	240039
102	23022	239832
103	23272	239886
104	23600	240723
105	23916	241421
106	24285	242632
107	24702	244278
108	25208	246769
109	25727	249325
110	25996	249421
111	26196	248867
112	26385	248208
113	26604	247843
114	26834	247580
115	26999	246723
116	27154	245784
117	27374	245440
118	27540	244621
119	27728	244008
120	27952	243718
121	28185	243506
122	28397	243111
123	28619	242802
124	28822	242341
125	28991	241599
126	29157	240833
127	29316	240030
128	29495	239390
129	29677	238789
130	29858	238180
131	30132	238321
132	30315	237740
133	30497	237153
134	30648	236333
135	30836	235807
136	31051	235493
137	31294	235391
138	31534	235257
139	31740	234878
140	31943	234477
141	32114	233845
142	32398	234042
143	32689	234275
144	32954	234315
145	33167	233989
146	33383	233685
147	33625	233561
148	33821	233117
149	34058	232957
150	34312	232916
151	34510	232491
152	34718	232140
153	34954	231970
154	35184	231762
155	35413	231550
156	35626	231234
157	35826	230834
158	36045	230554
159	36264	230280
160	36471	229927
161	36691	229663
162	36936	229549
163	37160	229310
164	37372	228991
165	37550	228472
166	37728	227951
167	37926	227559
168	38143	227278
169	38341	226893
170	38573	226705
171	38766	226289
172	38946	225802
173	39126	225313
174	39311	224864
175	39520	224549
176	39679	223953
177	39841	223381
178	40021	222912
179	40216	222531
180	40399	222086
181	40577	221613
182	40736	221044
183	40934	220690
184	41082	220069
185	41254	219579
186	41453	219236
187	41658	218927
188	41947	219058
189	42146	218718
190	42350	218406
191	42580	218226
192	42826	218126
193	43064	217986
194	43338	218025
195	43642	218210
196	43826	217797
197	44024	217456
198	44220	217104
199	44386	216608
200	44564	216172
201	44729	215674
202	44900	215213
203	45086	214824
